Date;Time;Flagging;'U12_[V]';'U23_[V]';'U31_[V]';'U12_max_[V]';'U23_max_[V]';'U31_max_[V]';'U12_min_[V]';'U23_min_[V]';'U31_min_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';'IL1_max_[A]';'IL2_max_[A]';'IL3_max_[A]';'I_Neutral_max_[A]';'IL1_min_[A]';'IL2_min_[A]';'IL3_min_[A]';'I_Neutral_min_[A]';'Pst_U12';'Pst_U23';'Pst_U31';'Plt_U12';'Plt_U23';'Plt_U31';'Unbalance_-_Voltage_(_Neg./Pos.)_[%]';'Unbalance_-_Current_(_Neg./Pos.)_[%]';'F_[Hz]';'P_total_min_[W]';'P_total_[W]';'P_total_[W]'_abs;'P_total_max_[W]';'S_total_min__[VA]';'S_total_[VA]';'S_total_max_[VA]';'PF_total';'PF_total'_abs;'cos(phi)';'tan(phi)';'QV_total_[Var]';'UL1_[V]';'UL2_[V]';'UL3_[V]';'UL1_max_[V]';'UL2_max_[V]';'UL3_max_[V]';'UL1_min_[V]';'UL2_min_[V]';'UL3_min_[V]';'Pst_UL1';'Pst_UL2';'Pst_UL3'
2021/08/11;11:20:00; ;411,704895;413,204895;413,696289;413,766724;415,540253;415,978912;388,226501;389,614960;391,568481;18,646879;15,976254;13,516672;4,459160;39,305370;31,671944;28,345427;14,470135;7,993690;3,707305;5,057702;1,909177;0,700961;0,725275;0,713047; ; ; ;0,289893;96,994911;49,998817;-13493,800781;-4089,651367;4089,651367;14412,238281;2935,548340;7004,060547;15755,708984;-0,583897;0,583897;-0,694607;-1,035678;4207,481445;237,755188;238,103271;239,255890;239,053802;239,172806;240,406494;224,967087;224,120407;226,074921;0,694505;0,731544;0,725043
2021/08/11;11:30:00; ;411,701080;412,527435;413,859039;413,489990;414,411346;415,770477;389,887390;391,184631;393,020203;19,555645;16,680540;12,915464;4,187254;39,625252;39,591557;22,487793;13,403381;9,132535;2,980283;3,604845;1,397310;0,697185;0,727887;0,696718; ; ; ;0,304360;99,996605;49,998432;-17608,058594;1847,140625;1847,140625;13403,842773;3286,657471;4968,333008;19694,367188;0,371783;0,371783;0,556576;1,492691;2784,822754;237,889816;237,813889;239,111572;238,912796;238,849976;240,268951;225,862427;224,813873;227,186829;0,678648;0,721481;0,715486
2021/08/11;11:40:00; ;411,255371;412,524323;413,731506;413,117462;414,789276;416,081940;389,546875;391,608185;393,458832;47,909050;23,010517;18,265057;5,186533;66,654831;43,928310;32,195568;18,082928;13,246190;4,448287;6,161494;2,721441;0,696285;0,733417;0,708041; ; ; ;0,346238;47,915123;49,998508;2452,174072;18360,681641;18360,681641;27118,218750;5235,354492;18766,669922;27309,324219;0,978367;0,978367;0,994654;0,103819;1906,834839;237,556015;237,874329;239,053146;238,711746;239,130081;240,261932;225,643234;225,190170;227,334976;0,683976;0,733180;0,720413
2021/08/11;11:50:00; ;411,738281;413,071350;414,379639;413,401031;415,058136;416,671265;390,266693;392,736511;394,259064;48,505581;20,379517;20,749748;6,749219;63,819809;42,113861;33,547779;17,167528;26,732779;4,864729;6,194047;3,744330;0,699382;0,722885;0,692612; ; ; ;0,369674;61,961121;49,993385;-7426,138672;17130,505859;17130,505859;28184,890625;7166,395508;17657,742188;28357,937500;0,970141;0,970141;0,988839;0,150673;2582,695801;237,942200;238,126480;239,383713;238,861679;239,262909;240,721466;226,055710;225,834488;227,806885;0,680804;0,729430;0,710503
2021/08/11;12:00:00; ;410,564423;412,145508;413,650055;413,147156;414,390472;415,982422;388,808075;390,198364;393,222473;32,662186;21,902815;11,588692;7,836743;55,562702;32,180035;17,781603;16,667334;17,233522;5,341816;4,845755;1,805901;0,677778;0,731926;0,707225; ; ; ;0,432714;151,356094;49,995205;-8935,562500;1399,406250;1399,406250;17495,988281;5549,296875;8327,288086;18103,869141;0,168051;0,168051;0,206679;4,733954;6775,178711;237,287399;237,524338;239,008286;238,463150;238,969696;240,360764;225,596252;224,496521;225,919342;0,665837;0,700756;0,731691
2021/08/11;12:10:00; ;411,973846;412,374908;413,906219;414,182739;414,598602;416,083099;389,856171;390,188934;392,552673;33,241890;29,516886;32,466873;5,511484;56,496796;41,173038;51,910099;12,884506;19,590982;10,138758;6,297618;1,341061;0,696362;0,714835;0,690345; ; ; ;0,284686;20,015104;49,980064;-7147,144531;20023,285156;20023,285156;29373,562500;9266,227539;20611,357422;29874,478516;0,971469;0,971469;0,985264;0,173599;3478,577881;238,051270;237,736801;239,122986;239,302780;239,061920;240,331924;225,790222;224,608368;226,603928;0,683789;0,714516;0,702636
2021/08/11;12:20:00; ;412,416412;412,849060;413,984528;414,557770;414,965179;416,792084;391,090912;392,165314;394,342285;37,936722;31,033587;26,798004;4,278543;55,698303;46,084705;55,609440;13,023020;26,552996;22,671539;9,863697;0,990617;0,713753;0,752611;0,709098; ; ; ;0,226051;13,678024;50,001617;15787,335938;21886,425781;21886,425781;27227,849609;16248,041992;22215,142578;27477,103516;0,985203;0,985203;0,993791;0,111961;2451,758545;238,217667;238,088470;239,179611;239,415253;239,274765;240,627747;226,596512;225,530777;227,761719;0,688411;0,739127;0,735837
2021/08/11;12:30:00; ;413,713348;414,286560;415,512756;415,880432;416,676544;417,847076;391,811523;392,972687;395,101654;22,049324;17,633810;14,132123;5,527881;46,576466;39,091770;55,371677;13,951874;8,189365;3,612626;3,830892;1,466210;0,688905;0,720748;0,699035; ; ; ;0,255999;77,783760;49,994263;-15242,039063;2655,650391;2655,650391;20888,281250;3497,059570;6511,976563;21635,478516;0,407810;0,407810;0,504095;1,713266;4592,909668;239,014267;238,809097;240,123917;240,236481;240,074844;241,461472;227,023361;225,957870;228,228134;0,676653;0,712714;0,725149
2021/08/11;12:40:00; ;412,512543;413,566803;414,779053;414,994843;416,030823;417,715546;388,385468;390,132629;392,728882;27,419392;22,670347;11,449877;9,154135;51,248753;37,305042;37,021305;16,691259;11,047577;4,181277;4,753663;2,011089;0,700427;0,719376;0,701911; ; ; ;0,316539;82,923927;50,000916;-16518,244141;-5092,680664;5092,680664;10327,400391;4955,623535;10694,005859;20234,171875;-0,476218;0,476218;-0,547958;-1,526587;7715,067383;238,330292;238,369064;239,716873;239,946548;239,836624;241,134140;225,225357;224,313721;226,684067;0,687867;0,718141;0,716020
2021/08/11;12:50:00; ;411,815277;412,726227;413,797180;414,078857;415,185425;415,929108;391,010010;391,463806;392,669861;20,099094;13,890659;13,740756;6,901274;33,030796;28,952333;32,450993;15,827687;10,104204;2,911510;4,085990;1,737528;0,695202;0,725938;0,689538; ; ; ;0,277164;88,456688;49,995716;-12399,946289;739,103516;739,103516;15020,445313;4588,366699;6029,139160;15474,408203;0,122589;0,122589;0,170089;5,793615;4416,123535;237,938919;237,922501;239,098953;239,269714;239,259079;240,443634;226,413467;225,295685;226,761566;0,677135;0,719244;0,706875
2021/08/11;13:00:00; ;411,283661;411,974915;413,342926;413,144653;413,937683;415,224518;387,698029;388,754730;391,600067;24,315096;21,965088;15,800879;6,883975;42,569626;46,298050;46,998798;15,948714;10,546121;5,077125;4,327003;2,123305;0,692474;0,717894;0,703893; ; ; ;0,293965;13,924895;50,004616;-3124,945557;12589,972656;12589,972656;24541,898438;5498,750000;13211,623047;24756,826172;0,952947;0,952947;0,981455;0,195314;2461,721680;237,564117;237,633789;238,760178;238,624939;238,694214;239,952011;224,826218;223,671539;225,883820;0,691480;0,723037;0,710055
2021/08/11;13:10:00; ;412,366730;413,353058;414,572113;414,445099;415,025055;416,401978;390,471710;392,643097;394,332733;17,556858;11,605722;16,313751;4,444793;31,921934;28,087894;44,837830;14,735440;7,847737;3,200730;5,438151;1,380613;0,691030;0,734910;0,696538; ; ; ;0,308728;70,933990;49,983860;-11841,830078;5253,793457;5253,793457;13319,743164;3708,028320;7013,370605;14945,955078;0,749111;0,749111;0,888772;0,515711;2718,444580;238,354919;238,243851;239,489120;239,506790;239,292480;240,472656;226,289215;225,678665;227,835205;0,678007;0,721894;0,721302
2021/08/11;13:20:00; ;413,111084;414,221497;414,530975;415,066864;416,081360;416,332275;393,012665;394,089020;394,620941;27,523808;22,420887;19,588272;4,181777;52,851837;44,076500;50,908283;13,649549;10,751012;2,948268;4,810307;1,605426;0,662352;0,722463;0,709216; ; ; ;0,208143;91,752388;49,993675;-20711,974609;-1058,415649;1058,415649;18564,062500;3785,957031;8179,849609;24063,363281;-0,129393;0,129393;-0,150714;-6,559300;6777,118652;238,477905;238,900482;239,617386;239,379089;239,882462;240,784988;227,699890;226,812820;226,943649;0,667220;0,697566;0,740651
2021/08/11;13:30:00; ;413,256897;414,700043;415,593658;415,361847;416,610718;417,426636;392,453064;394,508698;396,315063;31,777426;26,414854;11,275177;3,943673;44,348114;37,770157;22,630587;13,433139;19,191273;7,302793;5,375588;1,529595;0,655120;0,721289;0,688782; ; ; ;0,327418;52,914303;49,999847;-16744,597656;-10387,255859;10387,255859;-4949,044922;11094,394531;14711,225586;19660,728516;-0,706077;0,706077;-0,759583;-0,856274;8863,371094;238,825043;238,955002;240,190826;239,695023;240,030930;241,157852;227,619934;226,803070;227,727951;0,648549;0,690450;0,719547
2021/08/11;13:40:00; ;413,652130;415,335236;416,299255;415,550201;417,261841;418,414673;396,158112;397,351379;393,103790;27,400930;26,748985;10,928813;5,057997;32,941906;37,113251;16,031885;13,720082;16,508604;11,204569;4,725775;1,575287;0,674257;0,698564;0,740565; ; ; ;0,372060;66,857002;49,989632;-15366,051758;-9106,644531;9106,644531;595,385742;8919,204102;13290,331055;18334,994141;-0,685208;0,685208;-0,743856;-0,898480;8150,798340;239,026825;239,431168;240,516586;240,117920;240,483154;241,758484;227,155838;228,923233;228,026718;0,702770;0,674567;0,728071
2021/08/11;13:50:00; ;414,921783;415,565491;416,712738;417,114502;417,570343;418,717316;392,158020;393,355286;395,587830;24,549273;21,847031;11,205419;4,498664;32,346573;36,031612;29,900261;14,124185;10,600718;3,382112;4,243214;1,470110;0,713001;0,713753;0,700116; ; ; ;0,250512;84,508621;49,999172;-16399,859375;-4568,247070;4568,247070;5487,547852;3768,892822;10029,099609;19092,818359;-0,455499;0,455499;-0,527594;-1,610134;7307,461426;239,682114;239,637802;240,757294;240,740585;240,952835;241,972885;227,130127;226,568100;228,216385;0,693593;0,725372;0,712540
