Date;Time;Flagging;'U12_[V]';'U23_[V]';'U31_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';'IL1_max_[A]';'IL2_max_[A]';'IL3_max_[A]';'I_Neutral_max_[A]';'IL1_min_[A]';'IL2_min_[A]';'IL3_min_[A]';'I_Neutral_min_[A]';'Pst_U12';'Pst_U23';'Pst_U31';'Plt_U12';'Plt_U23';'Plt_U31';'Unbalance_-_Voltage_(_Neg./Pos.)_[%]';'Unbalance_-_Current_(_Neg./Pos.)_[%]';'F_[Hz]';'P_total_min_[W]';'P_total_[W]';'P_total_[W]'_abs;'P_total_max_[W]';'S_total_min__[VA]';'S_total_[VA]';'S_total_max_[VA]';'PF_total';'PF_total'_abs;'cos(phi)';'tan(phi)';'QV_total_[Var]';'UL1_[V]';'UL2_[V]';'UL3_[V]';'UL1_max_[V]';'UL2_max_[V]';'UL3_max_[V]';'UL1_min_[V]';'UL2_min_[V]';'UL3_min_[V]';'Pst_UL1';'Pst_UL2';'Pst_UL3'
11.08.2021;11:20:00; ;411,704895;413,204895;413,696289;18,646879;15,976254;13,516672;4,45916;39,30537;31,671944;28,345427;14,470135;7,99369;3,707305;5,057702;1,909177;0,700961;0,725275;0,713047; ; ; ;0,289893;96,994911;49,998817;-13493,80078;-4089,651367;4089,651367;14412,23828;2935,54834;7004,060547;15755,70898;-0,583897;0,583897;-0,694607;-1,035678;4207,481445;237,755188;238,103271;239,25589;239,053802;239,172806;240,406494;224,967087;224,120407;226,074921;0,694505;0,731544;0,725043
11.08.2021;11:30:00; ;411,70108;412,527435;413,859039;19,555645;16,68054;12,915464;4,187254;39,625252;39,591557;22,487793;13,403381;9,132535;2,980283;3,604845;1,39731;0,697185;0,727887;0,696718; ; ; ;0,30436;99,996605;49,998432;-17608,05859;1847,140625;1847,140625;13403,84277;3286,657471;4968,333008;19694,36719;0,371783;0,371783;0,556576;1,492691;2784,822754;237,889816;237,813889;239,111572;238,912796;238,849976;240,268951;225,862427;224,813873;227,186829;0,678648;0,721481;0,715486
11.08.2021;11:40:00; ;411,255371;412,524323;413,731506;47,90905;23,010517;18,265057;5,186533;66,654831;43,92831;32,195568;18,082928;13,24619;4,448287;6,161494;2,721441;0,696285;0,733417;0,708041; ; ; ;0,346238;47,915123;49,998508;2452,174072;18360,68164;18360,68164;27118,21875;5235,354492;18766,66992;27309,32422;0,978367;0,978367;0,994654;0,103819;1906,834839;237,556015;237,874329;239,053146;238,711746;239,130081;240,261932;225,643234;225,19017;227,334976;0,683976;0,73318;0,720413
11.08.2021;11:50:00; ;411,738281;413,07135;414,379639;48,505581;20,379517;20,749748;6,749219;63,819809;42,113861;33,547779;17,167528;26,732779;4,864729;6,194047;3,74433;0,699382;0,722885;0,692612; ; ; ;0,369674;61,961121;49,993385;-7426,138672;17130,50586;17130,50586;28184,89063;7166,395508;17657,74219;28357,9375;0,970141;0,970141;0,988839;0,150673;2582,695801;237,9422;238,12648;239,383713;238,861679;239,262909;240,721466;226,05571;225,834488;227,806885;0,680804;0,72943;0,710503
11.08.2021;12:00:00; ;410,564423;412,145508;413,650055;32,662186;21,902815;11,588692;7,836743;55,562702;32,180035;17,781603;16,667334;17,233522;5,341816;4,845755;1,805901;0,677778;0,731926;0,707225; ; ; ;0,432714;151,356094;49,995205;-8935,5625;1399,40625;1399,40625;17495,98828;5549,296875;8327,288086;18103,86914;0,168051;0,168051;0,206679;4,733954;6775,178711;237,287399;237,524338;239,008286;238,46315;238,969696;240,360764;225,596252;224,496521;225,919342;0,665837;0,700756;0,731691
11.08.2021;12:10:00; ;411,973846;412,374908;413,906219;33,24189;29,516886;32,466873;5,511484;56,496796;41,173038;51,910099;12,884506;19,590982;10,138758;6,297618;1,341061;0,696362;0,714835;0,690345; ; ; ;0,284686;20,015104;49,980064;-7147,144531;20023,28516;20023,28516;29373,5625;9266,227539;20611,35742;29874,47852;0,971469;0,971469;0,985264;0,173599;3478,577881;238,05127;237,736801;239,122986;239,30278;239,06192;240,331924;225,790222;224,608368;226,603928;0,683789;0,714516;0,702636
11.08.2021;12:20:00; ;412,416412;412,84906;413,984528;37,936722;31,033587;26,798004;4,278543;55,698303;46,084705;55,60944;13,02302;26,552996;22,671539;9,863697;0,990617;0,713753;0,752611;0,709098; ; ; ;0,226051;13,678024;50,001617;15787,33594;21886,42578;21886,42578;27227,84961;16248,04199;22215,14258;27477,10352;0,985203;0,985203;0,993791;0,111961;2451,758545;238,217667;238,08847;239,179611;239,415253;239,274765;240,627747;226,596512;225,530777;227,761719;0,688411;0,739127;0,735837
11.08.2021;12:30:00; ;413,713348;414,28656;415,512756;22,049324;17,63381;14,132123;5,527881;46,576466;39,09177;55,371677;13,951874;8,189365;3,612626;3,830892;1,46621;0,688905;0,720748;0,699035; ; ; ;0,255999;77,78376;49,994263;-15242,03906;2655,650391;2655,650391;20888,28125;3497,05957;6511,976563;21635,47852;0,40781;0,40781;0,504095;1,713266;4592,909668;239,014267;238,809097;240,123917;240,236481;240,074844;241,461472;227,023361;225,95787;228,228134;0,676653;0,712714;0,725149
11.08.2021;12:40:00; ;412,512543;413,566803;414,779053;27,419392;22,670347;11,449877;9,154135;51,248753;37,305042;37,021305;16,691259;11,047577;4,181277;4,753663;2,011089;0,700427;0,719376;0,701911; ; ; ;0,316539;82,923927;50,000916;-16518,24414;-5092,680664;5092,680664;10327,40039;4955,623535;10694,00586;20234,17188;-0,476218;0,476218;-0,547958;-1,526587;7715,067383;238,330292;238,369064;239,716873;239,946548;239,836624;241,13414;225,225357;224,313721;226,684067;0,687867;0,718141;0,71602
11.08.2021;12:50:00; ;411,815277;412,726227;413,79718;20,099094;13,890659;13,740756;6,901274;33,030796;28,952333;32,450993;15,827687;10,104204;2,91151;4,08599;1,737528;0,695202;0,725938;0,689538; ; ; ;0,277164;88,456688;49,995716;-12399,94629;739,103516;739,103516;15020,44531;4588,366699;6029,13916;15474,4082;0,122589;0,122589;0,170089;5,793615;4416,123535;237,938919;237,922501;239,098953;239,269714;239,259079;240,443634;226,413467;225,295685;226,761566;0,677135;0,719244;0,706875
