Date;Time;Flagging;'U12_[V]';'IL2_[A]';'IL3_[A]';'Plt_U12';'Plt_U23';'Plt_U31';'Pst_UL1';'Pst_UL2';'Pst_UL3'
11.08.2021;11:20:00; ;411,704895;15,976254;13,516672; ; ; ;0,694505;0,731544;0,725043
11.08.2021;11:30:00; ;411,70108;16,68054;12,915464; ; ; ;0,678648;0,721481;0,715486
11.08.2021;11:40:00;X;411,255371;23,010517;18,265057; ; ; ;0,683976;0,73318;0,720413
11.08.2021;11:50:00; ;411,738281;20,379517;20,749748; ; ; ;0,680804;0,72943;0,710503
11.08.2021;12:00:00; ;410,564423;21,902815;11,588692; ; ; ;0,665837;0,700756;0,731691
11.08.2021;12:10:00; ;411,973846;29,516886;32,466873; ; ; ;0,683789;0,714516;0,702636
11.08.2021;12:20:00; ;412,416412;31,033587;26,798004; ; ; ;0,688411;0,739127;0,735837
11.08.2021;12:30:00; ;413,713348;17,63381;14,132123; ; ; ;0,676653;0,712714;0,725149
11.08.2021;12:40:00;X;412,512543;22,670347;11,449877; ; ; ;0,687867;0,718141;0,71602
11.08.2021;12:50:00; ;411,815277;13,890659;13,740756; ; ; ;0,677135;0,719244;0,706875
11.08.2021;13:00:00; ;411,283661;21,965088;15,800879; ; ; ;0,69148;0,723037;0,710055
11.08.2021;13:10:00; ;412,36673;11,605722;16,313751; ; ; ;0,678007;0,721894;0,721302
11.08.2021;13:20:00; ;413,111084;22,420887;19,588272; ; ; ;0,66722;0,697566;0,740651
11.08.2021;13:30:00; ;413,256897;26,414854;11,275177; ; ; ;0,648549;0,69045;0,719547
11.08.2021;13:40:00; ;413,65213;26,748985;10,928813; ; ; ;0,70277;0,674567;0,728071
11.08.2021;13:50:00; ;414,921783;21,847031;11,205419; ; ; ;0,693593;0,725372;0,71254
11.08.2021;14:00:00; ;415,041473;18,277124;8,500525;0,688826;0,723079;0,703275;0,678405;0,70913;0,703734
11.08.2021;14:10:00; ;415,242767;12,59215;12,322507; ; ; ;0,671455;0,750432;0,736293
11.08.2021;14:20:00; ;416,723663;21,759525;9,130576; ; ; ;0,694605;0,729527;0,718619
11.08.2021;14:30:00; ;417,152527;13,521602;12,782345; ; ; ;0,721543;0,698179;0,73561
11.08.2021;14:40:00; ;420,36142;19,91955;10,758386; ; ; ;0,221862;0,243321;0,235991
11.08.2021;14:50:00; ;420,744904;22,181414;10,18752; ; ; ;0,717403;0,728155;0,784453
11.08.2021;15:00:00; ;419,824341;15,744235;9,002081; ; ; ;0,714918;0,766477;0,786124
11.08.2021;15:10:00; ;420,266235;11,465123;12,251262; ; ; ;0,199257;0,210416;0,233357
11.08.2021;15:20:00; ;419,519592;20,618759;8,74696; ; ; ;0,714515;0,752772;0,778284
11.08.2021;15:30:00; ;419,901672;8,405368;11,283672; ; ; ;0,242768;0,178513;0,192998
11.08.2021;15:40:00; ;420,476227;10,809175;12,799989; ; ; ;0,18975;0,193837;0,197755
11.08.2021;15:50:00; ;419,601166;8,973125;19,099543; ; ; ;0,722845;0,761871;0,748257
11.08.2021;16:00:00; ;420,57785;12,393271;23,402334;0,625952;0,65213;0,640823;0,186047;0,18849;0,194084
11.08.2021;16:10:00; ;421,388824;11,805018;23,645283; ; ; ;0,229972;0,211165;0,218061
11.08.2021;16:20:00; ;417,908997;17,266655;24,956745; ; ; ;0,189698;0,194098;0,203889
11.08.2021;16:30:00; ;418,146393;8,666235;19,125875; ; ; ;0,734486;0,773327;0,747741
11.08.2021;16:40:00; ;417,734039;9,178694;23,102367; ; ; ;0,207039;0,214451;0,210106
11.08.2021;16:50:00; ;417,843658;9,298129;17,154705; ; ; ;0,178757;0,180833;0,182441
11.08.2021;17:00:00; ;418,099335;10,248849;10,488594; ; ; ;0,732751;0,774588;0,772107
11.08.2021;17:10:00; ;418,907684;11,558077;23,198248; ; ; ;0,1595;0,173111;0,171514
11.08.2021;17:20:00; ;419,54364;7,907515;14,635048; ; ; ;0,161046;0,173708;0,166034
11.08.2021;17:30:00; ;419,694031;10,603625;10,684354; ; ; ;0,09672;0,124998;0,149887
11.08.2021;17:40:00; ;419,574829;15,363647;27,158346; ; ; ;0,111729;0,145951;0,119378
11.08.2021;17:50:00; ;420,135101;10,714184;8,877934; ; ; ;0,088849;0,128196;0,103057
11.08.2021;18:00:00; ;420,80014;6,716918;17,642014;0,419003;0,43215;0,418355;0,081612;0,10595;0,085542
11.08.2021;18:10:00; ;419,997314;8,844522;31,402248; ; ; ;0,158466;0,160627;0,168775
11.08.2021;18:20:00; ;418,842194;8,773892;19,776619; ; ; ;0,174307;0,169269;0,173922
11.08.2021;18:30:00; ;417,667969;13,180451;16,119812; ; ; ;0,086738;0,091502;0,098746
11.08.2021;18:40:00; ;416,096832;15,311556;27,011227; ; ; ;0,730385;0,770681;0,791127
11.08.2021;18:50:00; ;416,396027;24,925184;42,718575; ; ; ;0,100357;0,121056;0,114949
11.08.2021;19:00:00; ;417,381409;14,637501;30,689978; ; ; ;0,098697;0,088749;0,095522
11.08.2021;19:10:00; ;420,921631;14,181601;31,605427; ; ; ;0,158402;0,151157;0,159626
11.08.2021;19:20:00; ;420,740387;23,022594;32,552761; ; ; ;0,079511;0,089221;0,084894
11.08.2021;19:30:00; ;420,77179;16,10955;22,419989; ; ; ;0,111206;0,106781;0,108176
11.08.2021;19:40:00; ;419,885132;22,376957;23,651615; ; ; ;0,165975;0,16214;0,167164
11.08.2021;19:50:00; ;420,475037;26,384649;31,984324; ; ; ;0,101084;0,098005;0,100552
11.08.2021;20:00:00; ;419,925171;27,230871;25,314476;0,324974;0,347983;0,336815;0,277535;0,125805;0,130716
11.08.2021;20:10:00; ;420,716705;32,186172;32,35273; ; ; ;0,110958;0,181916;0,094428
11.08.2021;20:20:00; ;420,298798;31,628422;36,660233; ; ; ;0,094162;0,095905;0,123166
11.08.2021;20:30:00; ;420,733765;30,948847;28,748152; ; ; ;0,127068;0,099897;0,120751
11.08.2021;20:40:00; ;420,06189;30,026043;24,601851; ; ; ;0,084631;0,099805;0,09864
11.08.2021;20:50:00; ;419,638489;31,425894;32,423103; ; ; ;0,160519;0,194169;0,135074
11.08.2021;21:00:00; ;420,47113;27,514183;24,26079; ; ; ;0,08266;0,085422;0,086422
11.08.2021;21:10:00; ;420,921478;31,280115;20,771631; ; ; ;0,101514;0,09873;0,107622
11.08.2021;21:20:00; ;420,854309;27,880547;22,887358; ; ; ;0,102863;0,088941;0,098731
11.08.2021;21:30:00; ;420,522095;24,626526;19,839855; ; ; ;0,072701;0,071965;0,071607
11.08.2021;21:40:00; ;421,393005;25,087357;19,366686; ; ; ;0,077644;0,079489;0,075828
11.08.2021;21:50:00; ;419,672363;22,594343;19,921865; ; ; ;0,144889;0,147108;0,149223
11.08.2021;22:00:00; ;418,973816;23,077175;21,040306;0,13622;0,111555;0,128487;0,099594;0,11283;0,099346
11.08.2021;22:10:00; ;412,208588;22,797319;24,049932; ; ; ;0,147257;0,14936;0,152993
11.08.2021;22:20:00; ;412,398895;17,806988;22,400923; ; ; ;0,101929;0,096552;0,107511
11.08.2021;22:30:00; ;412,492554;17,230053;20,891125; ; ; ;0,747584;0,791689;0,806612
11.08.2021;22:40:00; ;413,324249;17,460257;18,025705; ; ; ;0,114062;0,092005;0,099954
11.08.2021;22:50:00; ;414,131653;15,073976;13,503304; ; ; ;0,102588;0,105987;0,11087
