Date;Time;Flagging;'U12_[V]';'IL2_[A]';'IL3_[A]';'Plt_U12';'Plt_U23';'Plt_U31'
11.08.2021;11:20:00; ;411,704895;15,976254;13,516672; ; ; 
11.08.2021;11:30:00; ;411,70108;16,68054;12,915464; ; ; 
11.08.2021;11:40:00;X;411,255371;23,010517;18,265057; ; ; 
11.08.2021;11:50:00; ;411,738281;20,379517;20,749748; ; ; 
11.08.2021;12:00:00; ;410,564423;21,902815;11,588692; ; ; 
11.08.2021;12:10:00; ;411,973846;29,516886;32,466873; ; ; 
11.08.2021;12:20:00; ;412,416412;31,033587;26,798004; ; ; 
11.08.2021;12:30:00; ;413,713348;17,63381;14,132123; ; ; 
11.08.2021;12:40:00;X;412,512543;22,670347;11,449877; ; ; 
11.08.2021;12:50:00; ;411,815277;13,890659;13,740756; ; ; 
11.08.2021;13:00:00; ;411,283661;21,965088;15,800879; ; ; 
11.08.2021;13:10:00; ;412,36673;11,605722;16,313751; ; ; 
11.08.2021;13:20:00; ;413,111084;22,420887;19,588272; ; ; 
11.08.2021;13:30:00; ;413,256897;26,414854;11,275177; ; ; 
11.08.2021;13:40:00; ;413,65213;26,748985;10,928813; ; ; 
11.08.2021;13:50:00; ;414,921783;21,847031;11,205419; ; ; 
11.08.2021;14:00:00; ;415,041473;18,277124;8,500525;0,688826;0,723079;0,703275
11.08.2021;14:10:00; ;415,242767;12,59215;12,322507; ; ; 
11.08.2021;14:20:00; ;416,723663;21,759525;9,130576; ; ; 
11.08.2021;14:30:00; ;417,152527;13,521602;12,782345; ; ; 
11.08.2021;14:40:00; ;420,36142;19,91955;10,758386; ; ; 
11.08.2021;14:50:00; ;420,744904;22,181414;10,18752; ; ; 
11.08.2021;15:00:00; ;419,824341;15,744235;9,002081; ; ; 
11.08.2021;15:10:00; ;420,266235;11,465123;12,251262; ; ; 
11.08.2021;15:20:00; ;419,519592;20,618759;8,74696; ; ; 
11.08.2021;15:30:00; ;419,901672;8,405368;11,283672; ; ; 
11.08.2021;15:40:00; ;420,476227;10,809175;12,799989; ; ; 
11.08.2021;15:50:00; ;419,601166;8,973125;19,099543; ; ; 
11.08.2021;16:00:00; ;420,57785;12,393271;23,402334;0,625952;0,65213;0,640823
11.08.2021;16:10:00; ;421,388824;11,805018;23,645283; ; ; 
11.08.2021;16:20:00; ;417,908997;17,266655;24,956745; ; ; 
11.08.2021;16:30:00; ;418,146393;8,666235;19,125875; ; ; 
